"","survey","trans","site","visit","surveyor","current","time","grid","x","y","outplant","protection","restored"
"1",1,"a","PR","1","Aneri","L",35,"01",1,1,0,"N","Y"
"2",1,"a","PR","1","Aneri","L",35,"02",1,2,0,"N","Y"
"3",1,"a","PR","1","Aneri","L",35,"03",1,3,0,"N","Y"
"4",1,"a","PR","1","Aneri","L",35,"04",1,4,0,"N","Y"
"5",1,"a","PR","1","Aneri","L",35,"05",1,5,0,"N","Y"
"6",1,"a","PR","1","Aneri","L",35,"06",1,6,0,"N","Y"
"7",1,"a","PR","1","Aneri","L",35,"07",1,7,1,"N","Y"
"8",1,"a","PR","1","Aneri","L",35,"08",1,8,1,"N","Y"
"9",1,"a","PR","1","Aneri","L",35,"09",1,9,1,"N","Y"
"10",1,"a","PR","1","Aneri","L",35,"10",1,10,1,"N","Y"
"11",1,"a","PR","1","Aneri","L",35,"11",2,1,0,"N","Y"
"12",1,"a","PR","1","Aneri","L",35,"12",2,2,1,"N","Y"
"13",1,"a","PR","1","Aneri","L",35,"13",2,3,1,"N","Y"
"14",1,"a","PR","1","Aneri","L",35,"14",2,4,0,"N","Y"
"15",1,"a","PR","1","Aneri","L",35,"15",2,5,0,"N","Y"
"16",1,"a","PR","1","Aneri","L",35,"16",2,6,0,"N","Y"
"17",1,"a","PR","1","Aneri","L",35,"17",2,7,1,"N","Y"
"18",1,"a","PR","1","Aneri","L",35,"18",2,8,1,"N","Y"
"19",1,"a","PR","1","Aneri","L",35,"19",2,9,1,"N","Y"
"20",1,"a","PR","1","Aneri","L",35,"20",2,10,1,"N","Y"
"21",2,"b","PR","1","Kelsey","L",35,"21",3,1,1,"N","Y"
"22",2,"b","PR","1","Kelsey","L",35,"22",3,2,0,"N","Y"
"23",2,"b","PR","1","Kelsey","L",35,"23",3,3,0,"N","Y"
"24",2,"b","PR","1","Kelsey","L",35,"24",3,4,1,"N","Y"
"25",2,"b","PR","1","Kelsey","L",35,"25",3,5,0,"N","Y"
"26",2,"b","PR","1","Kelsey","L",35,"26",3,6,0,"N","Y"
"27",2,"b","PR","1","Kelsey","L",35,"27",3,7,1,"N","Y"
"28",2,"b","PR","1","Kelsey","L",35,"28",3,8,1,"N","Y"
"29",2,"b","PR","1","Kelsey","L",35,"29",3,9,1,"N","Y"
"30",2,"b","PR","1","Kelsey","L",35,"30",3,10,1,"N","Y"
"31",2,"b","PR","1","Kelsey","L",35,"31",4,1,1,"N","Y"
"32",2,"b","PR","1","Kelsey","L",35,"32",4,2,0,"N","Y"
"33",2,"b","PR","1","Kelsey","L",35,"33",4,3,0,"N","Y"
"34",2,"b","PR","1","Kelsey","L",35,"34",4,4,1,"N","Y"
"35",2,"b","PR","1","Kelsey","L",35,"35",4,5,0,"N","Y"
"36",2,"b","PR","1","Kelsey","L",35,"36",4,6,0,"N","Y"
"37",2,"b","PR","1","Kelsey","L",35,"37",4,7,1,"N","Y"
"38",2,"b","PR","1","Kelsey","L",35,"38",4,8,1,"N","Y"
"39",2,"b","PR","1","Kelsey","L",35,"39",4,9,1,"N","Y"
"40",2,"b","PR","1","Kelsey","L",35,"40",4,10,1,"N","Y"
"41",3,"c","PR","1","Taylor","L",23,"41",5,1,0,"N","Y"
"42",3,"c","PR","1","Taylor","L",23,"42",5,2,0,"N","Y"
"43",3,"c","PR","1","Taylor","L",23,"43",5,3,1,"N","Y"
"44",3,"c","PR","1","Taylor","L",23,"44",5,4,1,"N","Y"
"45",3,"c","PR","1","Taylor","L",23,"45",5,5,0,"N","Y"
"46",3,"c","PR","1","Taylor","L",23,"46",5,6,1,"N","Y"
"47",3,"c","PR","1","Taylor","L",23,"47",5,7,1,"N","Y"
"48",3,"c","PR","1","Taylor","L",23,"48",5,8,0,"N","Y"
"49",3,"c","PR","1","Taylor","L",23,"49",5,9,1,"N","Y"
"50",3,"c","PR","1","Taylor","L",23,"50",5,10,1,"N","Y"
"51",3,"c","PR","1","Taylor","L",23,"51",6,1,0,"N","Y"
"52",3,"c","PR","1","Taylor","L",23,"52",6,2,0,"N","Y"
"53",3,"c","PR","1","Taylor","L",23,"53",6,3,1,"N","Y"
"54",3,"c","PR","1","Taylor","L",23,"54",6,4,1,"N","Y"
"55",3,"c","PR","1","Taylor","L",23,"55",6,5,1,"N","Y"
"56",3,"c","PR","1","Taylor","L",23,"56",6,6,1,"N","Y"
"57",3,"c","PR","1","Taylor","L",23,"57",6,7,1,"N","Y"
"58",3,"c","PR","1","Taylor","L",23,"58",6,8,1,"N","Y"
"59",3,"c","PR","1","Taylor","L",23,"59",6,9,1,"N","Y"
"60",3,"c","PR","1","Taylor","L",23,"60",6,10,1,"N","Y"
"61",4,"d","PR","1","Kelsey","L",27,"61",7,1,0,"N","Y"
"62",4,"d","PR","1","Kelsey","L",27,"62",7,2,0,"N","Y"
"63",4,"d","PR","1","Kelsey","L",27,"63",7,3,0,"N","Y"
"64",4,"d","PR","1","Kelsey","L",27,"64",7,4,1,"N","Y"
"65",4,"d","PR","1","Kelsey","L",27,"65",7,5,1,"N","Y"
"66",4,"d","PR","1","Kelsey","L",27,"66",7,6,0,"N","Y"
"67",4,"d","PR","1","Kelsey","L",27,"67",7,7,0,"N","Y"
"68",4,"d","PR","1","Kelsey","L",27,"68",7,8,0,"N","Y"
"69",4,"d","PR","1","Kelsey","L",27,"69",7,9,1,"N","Y"
"70",4,"d","PR","1","Kelsey","L",27,"70",7,10,1,"N","Y"
"71",4,"d","PR","1","Kelsey","L",27,"71",8,1,0,"N","Y"
"72",4,"d","PR","1","Kelsey","L",27,"72",8,2,0,"N","Y"
"73",4,"d","PR","1","Kelsey","L",27,"73",8,3,0,"N","Y"
"74",4,"d","PR","1","Kelsey","L",27,"74",8,4,1,"N","Y"
"75",4,"d","PR","1","Kelsey","L",27,"75",8,5,1,"N","Y"
"76",4,"d","PR","1","Kelsey","L",27,"76",8,6,1,"N","Y"
"77",4,"d","PR","1","Kelsey","L",27,"77",8,7,0,"N","Y"
"78",4,"d","PR","1","Kelsey","L",27,"78",8,8,0,"N","Y"
"79",4,"d","PR","1","Kelsey","L",27,"79",8,9,0,"N","Y"
"80",4,"d","PR","1","Kelsey","L",27,"80",8,10,1,"N","Y"
"81",5,"e","PR","1","Taylor","L",25,"81",9,1,0,"N","Y"
"82",5,"e","PR","1","Taylor","L",25,"82",9,2,1,"N","Y"
"83",5,"e","PR","1","Taylor","L",25,"83",9,3,1,"N","Y"
"84",5,"e","PR","1","Taylor","L",25,"84",9,4,1,"N","Y"
"85",5,"e","PR","1","Taylor","L",25,"85",9,5,1,"N","Y"
"86",5,"e","PR","1","Taylor","L",25,"86",9,6,1,"N","Y"
"87",5,"e","PR","1","Taylor","L",25,"87",9,7,0,"N","Y"
"88",5,"e","PR","1","Taylor","L",25,"88",9,8,0,"N","Y"
"89",5,"e","PR","1","Taylor","L",25,"89",9,9,0,"N","Y"
"90",5,"e","PR","1","Taylor","L",25,"90",9,10,1,"N","Y"
"91",5,"e","PR","1","Taylor","L",25,"91",10,1,0,"N","Y"
"92",5,"e","PR","1","Taylor","L",25,"92",10,2,0,"N","Y"
"93",5,"e","PR","1","Taylor","L",25,"93",10,3,0,"N","Y"
"94",5,"e","PR","1","Taylor","L",25,"94",10,4,1,"N","Y"
"95",5,"e","PR","1","Taylor","L",25,"95",10,5,1,"N","Y"
"96",5,"e","PR","1","Taylor","L",25,"96",10,6,0,"N","Y"
"97",5,"e","PR","1","Taylor","L",25,"97",10,7,0,"N","Y"
"98",5,"e","PR","1","Taylor","L",25,"98",10,8,0,"N","Y"
"99",5,"e","PR","1","Taylor","L",25,"99",10,9,0,"N","Y"
"100",5,"e","PR","1","Taylor","L",25,"100",10,10,1,"N","Y"
"101",6,"a","PC","1","Kelsey","L",17,"01",1,1,0,"N","N"
"102",6,"a","PC","1","Kelsey","L",17,"02",1,2,0,"N","N"
"103",6,"a","PC","1","Kelsey","L",17,"03",1,3,0,"N","N"
"104",6,"a","PC","1","Kelsey","L",17,"04",1,4,0,"N","N"
"105",6,"a","PC","1","Kelsey","L",17,"05",1,5,0,"N","N"
"106",6,"a","PC","1","Kelsey","L",17,"06",1,6,0,"N","N"
"107",6,"a","PC","1","Kelsey","L",17,"07",1,7,0,"N","N"
"108",6,"a","PC","1","Kelsey","L",17,"08",1,8,0,"N","N"
"109",6,"a","PC","1","Kelsey","L",17,"09",1,9,0,"N","N"
"110",6,"a","PC","1","Kelsey","L",17,"10",1,10,0,"N","N"
"111",6,"a","PC","1","Kelsey","L",17,"11",2,1,0,"N","N"
"112",6,"a","PC","1","Kelsey","L",17,"12",2,2,0,"N","N"
"113",6,"a","PC","1","Kelsey","L",17,"13",2,3,0,"N","N"
"114",6,"a","PC","1","Kelsey","L",17,"14",2,4,0,"N","N"
