,common_name,diet,activity,social,cryptic_behaviour,dendlabs,max_size,fish.clust.num9,
1,Balloonfish,Invertivore,nocturnal,solitary,0,1,46-55,1,"non cryptic diurnal invertivores, social"
10,Bluestriped Grunt,Invertivore,diurnal,schooling,0,10,46-55,1,
26,Harlequin Bass,Invertivore,diurnal,solitary,0,26,26-35,1,
28,Hogfish,Invertivore,diurnal,solitary,0,28,> 75,1,
29,Honeycomb Cowfish,Invertivore,diurnal,solitary,0,29,46-55,1,
36,Ocean Triggerfish,Invertivore,diurnal,solitary,0,36,56-65,1,
41,Puddingwife,Invertivore,diurnal,shoaling,0,41,46-55,1,
42,Queen Angelfish,Invertivore,diurnal,solitary,0,42,36-45,1,
59,Smooth Trunkfish,Invertivore,diurnal,solitary,0,59,46-55,1,
61,Spanish Hogfish,Invertivore,diurnal,solitary,0,61,36-45,1,
62,Spotfin Butterflyfish,Invertivore,diurnal,shoaling,0,62,15-25,1,
64,Spotted Goatfish,Invertivore,diurnal,solitary,0,64,26-35,1,
71,Tomtate,Invertivore,diurnal,schooling,0,71,15-25,1,
75,White Grunt,Invertivore,diurnal,shoaling,0,75,46-55,1,
78,Yellow Goatfish,Invertivore,diurnal,solitary,0,78,36-45,1,
2,Banded Butterflyfish,Invertivore,diurnal,shoaling,1,2,15-25,2,"cryptic invertivores, mostly solitary"
7,Black Margate,Invertivore,nocturnal,shoaling,1,7,> 75,2,
16,Dusky Squirrelfish,Invertivore,nocturnal,solitary,1,16,15-25,2,
17,Foureye Butterflyfish,Invertivore,diurnal,shoaling,1,17,15-25,2,
19,French Grunt,Invertivore,diurnal,shoaling,1,19,26-35,2,
27,Highhat,Invertivore,diurnal,solitary,1,27,15-25,2,
38,Porcupinefish,Invertivore,nocturnal,solitary,1,38,> 75,2,
48,Reef Butterflyfish,Invertivore,diurnal,shoaling,1,48,15-25,2,
49,Reef Croaker,Invertivore,nocturnal,solitary,1,49,26-35,2,
50,Rock Beauty,Invertivore,diurnal,solitary,1,50,26-35,2,
63,Spotted Drum,Invertivore,both,solitary,1,63,26-35,2,
67,Squirrelfish,Invertivore,nocturnal,solitary,1,67,56-65,2,
3,Bar Jack,Carnivore,diurnal,schooling,0,3,46-55,3,Schooling non cryptics
5,Bermuda Chub,"Herbivore, browser",diurnal,schooling,0,5,> 75,3,
9,Blue Tang,"Herbivore, grazer/detritivore",diurnal,schooling,0,9,36-45,3,
11,Brassy chub,"Herbivore, browser",diurnal,schooling,0,11,66-75,3,
13,Creole Wrasse,Planktivore,diurnal,schooling,0,13,26-35,3,
14,Doctorfish,"Herbivore, grazer/detritivore",diurnal,schooling,0,14,36-45,3,
35,Ocean Surgeonfish,"Herbivore, grazer/detritivore",diurnal,schooling,0,35,36-45,3,
60,Spanish Grunt,Invertivore,diurnal,schooling,0,60,36-45,3,
69,Striped Grunt,Invertivore,diurnal,schooling,0,69,26-35,3,
72,Topsail chub,"Herbivore, browser",diurnal,schooling,0,72,> 75,3,
4,Barracuda,Carnivore,diurnal,solitary,0,4,> 75,4,large solitary diurnal carnivores
6,Black Grouper,Carnivore,diurnal,solitary,1,6,> 75,4,
15,Dog Snapper,Carnivore,diurnal,solitary,1,15,> 75,4,
25,Grey Snapper,Carnivore,nocturnal,solitary,0,25,> 75,4,
33,Mutton Snapper,Carnivore,both,solitary,0,33,> 75,4,
34,Nassau Grouper,Carnivore,diurnal,solitary,1,34,> 75,4,
45,Red Grouper,Carnivore,diurnal,solitary,1,45,> 75,4,
52,Sand Diver,Carnivore,diurnal,solitary,0,52,46-55,4,
53,Saucereye Porgy,Carnivore,diurnal,solitary,0,53,56-65,4,
8,Blue Parrotfish,"Herbivore, scraper",diurnal,shoaling,0,8,> 75,5,Shoaling herbivores
18,French Angelfish,Omnivore,diurnal,shoaling,0,18,36-45,5,
21,Gray Angelfish,Omnivore,diurnal,shoaling,0,21,56-65,5,
31,Mahogany Snapper,Carnivore,nocturnal,shoaling,0,31,46-55,5,
32,Midnight Parrotfish,"Herbivore, excavator",diurnal,shoaling,0,32,> 75,5,
40,Princess Parrotfish,"Herbivore, scraper",diurnal,shoaling,0,40,26-35,5,
43,Queen Parrotfish,"Herbivore, scraper",diurnal,shoaling,0,43,56-65,5,
44,Rainbow Parrotfish,"Herbivore, excavator",diurnal,shoaling,0,44,> 75,5,
46,Redband Parrotfish,"Herbivore, browser",diurnal,shoaling,0,46,26-35,5,
47,Redtail Parrotfish,"Herbivore, browser",diurnal,shoaling,0,47,46-55,5,
57,Slippery Dick,Carnivore,diurnal,shoaling,0,57,26-35,5,
68,Stoplight Parrotfish,"Herbivore, excavator",diurnal,shoaling,0,68,56-65,5,
70,Striped Parrotfish,"Herbivore, browser",diurnal,shoaling,0,70,26-35,5,
79,Yellowtail Parrotfish,"Herbivore, browser",diurnal,shoaling,0,79,46-55,5,
12,Caesar Grunt,Invertivore,nocturnal,schooling,0,12,36-45,6,schooling non cryptic nocturnals invertivores
30,Lane Snapper,Carnivore,nocturnal,schooling,0,30,56-65,6,
39,Porkfish,Invertivore,nocturnal,schooling,0,39,36-45,6,
51,Sailors Choice,Invertivore,nocturnal,schooling,0,51,36-45,6,
58,Smallmouth Grunt,Invertivore,nocturnal,schooling,0,58,15-25,6,
76,White Margate,Invertivore,both,schooling,0,76,> 75,6,
80,Yellowtail Snapper,Planktivore,both,schooling,0,80,> 75,6,
20,Goldentail Moray,Carnivore,nocturnal,solitary,1,20,66-75,7,"solitary, cryptic, nocturnal carnivores"
22,Graysby,Carnivore,nocturnal,solitary,1,22,36-45,7,(only differences from group 4 is nocturnal… could combine)
23,Greater Soapfish,Carnivore,nocturnal,solitary,1,23,26-35,7,
24,Green Moray,Carnivore,nocturnal,solitary,1,24,> 75,7,
65,Spotted Moray,Carnivore,nocturnal,solitary,1,65,> 75,7,
37,Orangespotted Filefish,Omnivore,diurnal,solitary,0,37,15-25,8,solitary omnivores 
55,Scrawled Cowfish,Omnivore,diurnal,solitary,0,55,26-35,8,
56,Scrawled Filefish,Omnivore,diurnal,solitary,0,56,> 75,8,
66,Spotted Trunkfish,Omnivore,diurnal,solitary,0,66,46-55,8,
74,Trunkfish,Omnivore,diurnal,solitary,0,74,26-35,8,
77,Whitespotted Filefish,Omnivore,diurnal,solitary,1,77,26-35,8,
54,Schoolmaster,Carnivore,both,schooling,1,54,66-75,9,can move to group 6. 
73,Trumpetfish,Carnivore,both,solitary,1,73,> 75,9,can move to group 4
