site,grid,fac,area,s_area,surf_complex,max_height,min_height,height_diff,mean_slope,sd_slope,mean_slope2,sd_slope2,mean_vrm,sd_vrm,mean_curv,sd_curv,max_curv,min_curv,mean_pro_curv,sd_pro_curv,max_pro_curv,min_pro_curv,mean_plan_curv,sd_plan_curv,max_plan_curv,min_plan_curv,d32,,
CC,1,1,22.528,33.81632118,1.501079598,9.211491585,7.518706322,1.692785263,32.49209199,0.325586313,0.892697572,1.24104504,0.035415997,0.051964699,0.086572956,200.1481934,6504.57859,-6778.812408,-1.241380477,3293.991944,-3521.3825,144.4797599,-1.154807521,86.23246107,-3984.096031,4059.930045,2.104361834,,
CC,1,2,22.528,32.1377986,1.426571316,9.193760157,7.519300699,1.674459457,30.94024334,0.306360023,0.78969423,0.887913679,0.046887179,0.05425218,0.137360154,86.12591099,1663.992703,-1465.717852,-0.785966872,995.0438705,-1063.332786,59.92119819,-0.648606717,38.16409041,-814.1874375,801.678487,2.104361834,,
CC,1,4,22.528,29.80947701,1.323218972,9.167961061,7.522052139,1.645908922,27.6063327,0.272340319,0.650708066,0.603842219,0.047096109,0.044141301,0.128642669,34.47235401,372.2979501,-432.8618944,-0.509728653,237.6266799,-235.5871505,22.90869552,-0.381085984,16.08809573,-205.3225329,157.4168112,2.104361834,,
CC,1,8,22.528,27.3173395,1.212594971,9.093314052,7.538834155,1.554479897,22.76380312,0.229775426,0.4990917,0.395273303,0.035342464,0.03214233,0.145460594,13.12279667,96.562705,-76.74811292,-0.383578711,53.1977499,-58.16036619,8.244181276,-0.238118117,6.51735086,-36.55386309,47.64232952,2.104361834,,
CC,1,16,22.528,25.29568033,1.122855128,9.051952019,7.548005093,1.503946926,17.77145653,0.17824805,0.366185174,0.247016843,0.022935822,0.025127736,0.046382764,4.795976558,16.25892852,-26.44518696,-0.208379242,12.48412476,-11.88242849,2.862034402,-0.161996479,2.590897752,-15.98294189,8.498710129,2.104361834,,
CC,1,32,22.528,23.94303005,1.062812058,9.008417701,7.60933086,1.399086842,13.41831885,0.098479408,0.259891477,0.121259558,0.007292245,0.004742424,-0.035266419,1.609691387,4.036641571,-7.298195223,0.007103976,4.679004454,-3.419028725,0.979452671,-0.028162444,0.87338636,-4.191002015,3.156026006,2.104361834,,
CC,2,1,9.8304,13.23876287,1.3467166,7.840656757,7.094320774,0.746335983,26.08996922,0.325011525,0.676467167,0.993535456,0.022836576,0.03983726,-0.118900811,155.3423343,4451.570511,-8955.140114,-1.922523445,3933.115106,-2678.010562,111.8980783,-2.041424256,68.81421117,-5022.025008,2352.416871,2.07871136,,
CC,2,2,9.8304,12.76851352,1.298880363,7.724066019,7.098617673,0.625448346,24.76542222,0.31524115,0.605452988,0.726925918,0.031551034,0.043919753,-0.153762568,64.2286336,893.2232857,-1545.396447,-1.250242914,669.3443616,-537.499731,45.36687772,-1.404005482,28.32367343,-1051.263438,413.9690572,2.07871136,,
CC,2,4,9.8304,12.11025005,1.23191834,7.686631441,7.102738023,0.583893418,22.25160327,0.288375165,0.508102712,0.517357619,0.034604827,0.038999286,-0.043976109,25.82302039,182.2918467,-250.9822138,-0.807271978,116.0874943,-113.406397,17.63474779,-0.851248087,11.95750812,-155.5382064,89.13960786,2.07871136,,
CC,2,8,9.8304,11.39650472,1.15931241,7.662891239,7.10792771,0.554963529,18.6367073,0.236764461,0.39647667,0.349203677,0.029643703,0.029880796,0.095618101,10.86701961,49.5816255,-74.43647832,-0.64262864,51.58645868,-30.41469768,7.139348349,-0.547010539,5.36273667,-51.45533916,35.07674976,2.07871136,,
