survey,date,site,site_survey,trans,surveyor,cloud_cov,current,wind_spd,wind_dir,time_start,time_end,
1,1/6/2019,Pickles,PR_1,a,Aneri,10,L,7,SE,13:38,14:13,
2,1/6/2019,Pickles,PR_1,b,Kelsey ,10,L,7,SE,13:38,14:13,
3,1/6/2019,Pickles,PR_1,c,Taylor ,8,L,10,SE,13:38,14:01,
4,1/6/2019,Pickles,PR_1,d,Kelsey,10,L,7,SE,14:38,15:05,
5,1/6/2019,Pickles,PR_1,e,Taylor ,10,L,10,SE,14:30,14:55,
6,1/6/2019,Pickles Control,PC_1,a,Kelsey,10,L,10,SE,11:11,11:28,
7,1/6/2019,Pickles Control,PC_1,b,Noelle,10,L,10,SE,11:11,11:31,
8,1/6/2019,Pickles Control,PC_1,c,Taylor ,10,L,11,SE,11:11,11:29,
9,1/6/2019,Pickles Control,PC_1,d,Noelle,10,L,12,SE,11:44,12:01,
10,1/6/2019,Pickles Control,PC_1,e,Taylor ,10,L,13,SE,11:44,11:59,
11,5/6/2019,Carysfort Control,CC_1,a,Kelsey,10,L,9,SE,13:18,14:03,
12,5/6/2019,Carysfort Control,CC_1,b,Aneri,10,L,5,S,13:19,13:59,
13,5/6/2019,Carysfort Control,CC_1,c,Noelle,10,L,5,S,13:18,13:59,
14,5/6/2019,Carysfort Control,CC_1,d,Aneri,10,L,5,S,14:05,14:41,
15,5/6/2019,Carysfort Control,CC_1,e,Noelle,10,L,5,S,14:06,14:42,
16,6/6/2019,Carysfort,CR_1,a,Taylor ,35,L,6,SE,11:27,11:55,
17,6/6/2019,Carysfort,CR_1,b,Aneri,40,L,8,SE,11:27,11:58,re-entered by NH 2/25/2020
18,6/6/2019,Carysfort,CR_1,c,Noelle,40,L,5,S,11:28,11:59,
19,6/6/2019,Carysfort,CR_1,d,Aneri,40,L,6,S,12:02,12:27,
20,6/6/2019,Carysfort,CR_1,e,Noelle,40,L,5,S,12:02,12:27,
21,7/6/2019,NDR,NDR_1,a,Taylor ,70,M,10,E,14:34,15:46,
22,7/6/2019,NDR,NDR_1,b,Aneri,70,M,10,E,14:34,15:39,
23,7/6/2019,NDR,NDR_1,c,Noelle,65,H,10,E,14:32,15:32,
24,8/6/2019,NDR Control,NDRC_1,a,Noelle,30,L,9,SE,14:14,15:09,
25,8/6/2019,NDR Control,NDRC_1,b,Kelsey,30,M,8,SE,14:15,15:14,
26,8/6/2019,NDR Control,NDRC_1,c,Aneri,40,L,8,SE,14:15,15:08,
27,12/6/2019,Carysfort,CR_2,a,Aneri,35,L,6,S,10:21,11:11,
28,12/6/2019,Carysfort,CR_2,b,Kelsey,35,L,6,S,10:23,11:15,
29,12/6/2019,Carysfort,CR_2,c,Taylor ,35,L,6,S,10:22,11:25,
30,12/6/2019,Carysfort,CR_2,d,Aneri,35,L,6,S,11:26,12:16,
31,12/6/2019,Carysfort,CR_2,e,Taylor ,35,L,6,S,11:26,12:24,
32,19/06/2019,Grecian,GR_1,a,Aneri,30,H,10,S,11:17,12:44,
33,19/06/2020,Grecian,GR_1,b,Noelle,40,M,8,S,11:18,12:44,
34,19/06/2021,Grecian,GR_1,c,Taylor ,35,M,10,SE,11:17,12:44,
35,20/06/2019,Grecian Control,GC_1,a,Aneri,30,H,10,SE,10:21,11:36,
36,20/06/2019,Grecian Control,GC_1,b,Noelle,30,H,10,SE,10:23,11:42,
37,20/06/2019,Grecian Control,GC_1,c,Taylor ,20,M,10,SE,10:22,11:36,
38,21/06/2019,Carysfort Control,CC_2,a,Aneri,5,M,3,S,10:50,11:41,
39,21/06/2019,Carysfort Control,CC_2,b,Noelle,0,M,5,SE,10:50,11:38,
40,21/06/2019,Carysfort Control,CC_2,c,Kelsey,0,L,5,SE,10:49,11:35,
41,21/06/2019,Carysfort Control,CC_2,d,Noelle,0,L,5,SE,11:45,12:18,
42,21/06/2019,Carysfort Control,CC_2,e,Aneri,5,L,NR,NR,11:44,12:17,
43,21/06/2019,NDR,NDR_2,a,Kelsey,20,L,5,SE,14:24,15:36,
44,21/06/2019,NDR,NDR_2,b,Noelle,0,L,5,SE,14:15,15:12,
45,21/06/2019,NDR,NDR_2,c,Aneri ,5,L,3,S,14:12,15:44,
46,22/06/2019,NDR Control,NDRC_2,a,Kelsey,30,L,5,NR,11:40,12:48,
47,22/06/2019,NDR Control,NDRC_2,b,Aneri,10,M,5,S,11:40,12:50,
48,22/06/2019,NDR Control,NDRC_2,c,Noelle,35,L,5,S,11:40,12:43,
49,25/06/2019,Carysfort Control,CC_3,a,Noelle,5,,NR,NR,15:10,15:34,
50,25/06/2019,Carysfort Control,CC_3,b,Aneri,5,L,NR,NR,15:08,15:34,
